id,nome,preco,codigo,por_peso,codigo_id,vendido
522,"MINI CHEES CAKE DE MORANGO",8,7890000004572,0,457,1
523,"MINI COPO DA FELICIDADE MORANGO",8,7890000004589,0,458,1
524,"MINI COPO DA FELICIDADE OURO BRANCO",8,7890000004558,0,455,1
525,"MINI MARTA ROCHA",29,7890000004657,0,465,1
526,"MINI PANETONE C/CHOCOLATE UNID.",3,7890000007245,0,724,1
527,"MINI PAO DE CACHORRO QUENTE",0,7890000005869,0,586,1
528,"MINI PAO DE SAL",0,7890000005883,0,588,1
529,"MINI PASTEL FRITO CARNE KG",32,7890000003704,0,370,1
530,"MINI PASTEL FRITO CARNE KG CRU",32,7890000004251,0,425,1
531,"MINI PIZZA BROTINHO",2,7890000908023,0,90802,1
532,"MINI PIZZA BROTINHO BANDENJA C/8 CRU",15,7890000004756,0,475,1
533,"MINI PUDIM",6,7890000004817,0,481,1
534,"MINI SONHO",29,7890000004640,0,464,1
535,"MINI SONHO AMERICANO",29,7890000004664,1,466,1
544,"MISTO COM OVO UND.",4,7890000003926,0,392,1
545,"MISTO COMUM UND.",4,7890000003919,0,391,1
547,"MMS MINI TUBO",5,7890000000567,0,56,1
552,"MONSTER ABSOLUTELY ZERO LATA 473ML",10,70847022305,0,341,1
553,"MONSTER ENERGY LT 473ML",10,70847022015,0,340,1
554,"MONSTER ULTRA ZERO LATA 473ML",10,70847022206,0,90865,1
555,"MOUSSE DE CHOCOLATE",7,7890000003766,0,376,1
556,"MOUSSE DE LIMAO",7,7890000003544,0,354,1
557,"MOUSSE DE MARACUJA",8,7890000003537,0,353,1
559,"NINHO UNID.",0,7890000003094,0,309,1
560,"NUCITA NAPOLITANO 15GR",1,7890000907538,0,90753,1
569,OREGANO,1,7890000001359,0,135,1
572,"OVO DA PASCOA DE COLHER",24,7890000907682,0,90768,1
573,"PACOCA DIET STA. HELENA",1,7896336002725,0,42,1
574,"PACOCA STA. HELENA",0,7896336005917,0,51,1
575,"PALHA ITALIANA UNID.",4,7890000005531,0,553,1
579,"PANETONE C/CHOCOLATE UNID.",10,7890000004435,0,443,1
580,"PANETONE C/FRUTAS CRIST.",10,7890000004428,0,442,1
581,"PAO BATATA RECH. CARNE UNID. PEQUENO",2,7890000005586,0,558,1
582,"PAO BATATA RECH. UNID.",3,7890000003889,0,388,1
